,tweet_text,picture_url,retweet_number,like_number,location
0,For #htl16_litter https://t.co/xda6ARMIpp,http://pbs.twimg.com/media/CkrPzTFWkAAyIa1.jpg,0,0,none
1,For #htl16_litter https://t.co/HL3h7uY1TC,http://pbs.twimg.com/media/CkrQgt_WsAAoAa5.jpg,0,0,"[51.4921342, -3.1832376]"
2,cigarette ends! #htl16_litter https://t.co/J3QYqmSISl,http://pbs.twimg.com/media/CkrF9kNXIAAh3i1.jpg,0,0,none
3,Drains about to be blocked by #htl16_litter https://t.co/vsQywLlhO4,http://pbs.twimg.com/media/CkrFdgkWUAEnErp.jpg,0,0,none
4,#Htl16_litter https://t.co/tWaSgEDJlJ,http://pbs.twimg.com/media/CkrC6aGWYAA26_b.jpg,0,0,"[51.49227753, -3.18325468]"
5,Test tweet no.2 for #HTL16 project about littler #htl16_litter https://t.co/9nMsqngVKi,http://pbs.twimg.com/media/Ckq--7cWsAAL_NG.jpg,0,0,"[51.50092136, -3.17575457]"
